year,month,temp_mean,temp_min_mean,temp_max_mean,precip_sum,snowfall_sum,wind_max_mean,cold_days_n25,cold_days_n35,dry_days,fire_wx_days,hdd
2024,3,-6.448,-12.645,-0.184,11.6,8.12,15.468,2,0,27,0,757.9
2024,4,3.953,-2.153,10.517,31.0,16.59,18.137,0,0,22,7,421.4
2024,5,12.032,4.097,19.055,30.2,3.29,17.835,0,0,22,12,187.0
2024,6,15.467,8.397,22.11,103.2,10.43,16.447,0,0,14,4,85.2
2024,7,19.626,13.5,25.49,62.0,0.0,13.232,0,0,12,3,6.3
2024,8,17.265,12.019,22.648,156.4,0.0,13.035,0,0,12,2,31.8
2024,9,9.813,3.777,16.203,21.5,2.59,15.393,0,0,21,9,245.6
2024,10,1.465,-3.429,7.245,19.9,12.39,14.984,0,0,22,2,512.6
2024,11,-5.363,-9.41,0.163,9.0,6.37,13.747,0,0,26,0,700.9
2024,12,-17.813,-21.748,-12.471,3.7,2.59,7.065,3,0,27,0,1110.2
2025,1,-18.145,-22.697,-11.755,4.6,3.22,7.939,9,0,27,0,1120.5
2025,2,-17.443,-23.146,-10.607,2.6,1.75,12.036,12,0,25,0,992.4
2025,3,-5.116,-11.2,1.319,14.1,9.87,16.261,0,0,21,0,716.6
2025,4,4.047,-2.4,10.69,5.8,3.29,19.333,0,0,27,5,418.6
2025,5,10.455,3.184,16.855,17.7,3.15,17.668,0,0,24,17,237.6
2025,6,17.69,10.833,23.78,18.9,0.0,16.47,0,0,23,14,66.2
2025,7,19.845,13.71,25.529,45.5,0.0,14.484,0,0,14,4,5.6
2025,8,16.216,10.819,21.671,113.4,0.0,13.994,0,0,15,2,64.5
2025,9,9.87,4.753,15.55,54.0,0.0,14.273,0,0,21,4,243.9
2025,10,-2.394,-7.055,2.994,12.2,7.21,12.439,0,0,25,2,632.2
2025,11,-9.18,-13.84,-3.683,18.4,13.09,11.827,1,0,25,0,815.4
2025,12,-19.487,-24.116,-13.648,1.7,1.19,7.665,14,0,29,0,1162.1
2026,1,-22.11,-27.381,-16.042,3.9,2.94,7.571,18,3,26,0,1243.4
2026,2,-16.179,-22.596,-9.0,5.8,4.06,10.564,9,0,25,0,957.0
2026,3,-6.313,-13.023,0.529,4.2,2.94,14.8,2,0,28,0,753.7
2026,4,2.78,-3.167,8.713,24.9,13.93,18.49,0,0,21,5,456.6
2026,5,11.039,3.935,17.394,25.4,0.21,19.061,0,0,24,18,219.3
2026,6,6.1,0.65,11.125,5.7,0.0,17.0,0,0,2,1,47.6
